Título;Estréia;Final;Nº episódios;Classificação;Nota;Nº avaliações
Breaking Bad;2008;2013;62;16;9,5;2,1 mi
Planeta Terra II;2016;['2016'];6;10;9,5;159 mil
Planeta Terra;2006;['2006'];11;Livre;9,4;221 mil
Irmãos de Guerra;2001;['2001'];10;14;9,4;529 mil
Chernobyl;2019;['2019'];5;16;9,3;870 mil
A Escuta;2002;2008;60;16;9,3;379 mil
Avatar: A Lenda de Aang;2005;2008;62;Livre;9,3;376 mil
Planeta Azul II;2017;['2017'];7;Livre;9,3;47 mil
Família Soprano;1999;2007;86;16;9,2;474 mil
Cosmos: Uma Odisseia do Espaço-Tempo;2014;['2014'];13;Livre;9,2;129 mil
Cosmos;1980;['1980'];13;Livre;9,3;45 mil
Nosso Planeta;2019;2023;12;10;9,3;52 mil
Game of Thrones;2011;2019;74;16;9,2;2,3 mi
O Mundo em Guerra;1973;1974;26;TV-PG;9,2;30 mil
Bluey;2018;;194;Livre;9,4;29 mil
Fullmetal Alchemist: Brotherhood;2009;2010;68;14;9,1;198 mil
Rick e Morty;2013;;74;16;9,1;604 mil
Vida;2009;['2009'];11;Livre;9,1;43 mil
Arremesso Final;2020;['2020'];10;16;9,1;153 mil
Além da Imaginação;1959;1964;156;12;9,1;94 mil
Sherlock;2010;2017;15;14;9,1;1 mi
A Guerra do Vietnã;2017;['2017'];10;TV-MA;9,1;28 mil
Batman: A Série Animada;1992;1995;85;Livre;9,0;117 mil
Ataque dos Titãs;2013;2023;98;18;9,1;516 mil
Vida de Escritório;2005;2013;188;12;9,0;716 mil
Planeta Azul;2001;['2001'];8;Livre;9,0;43 mil
Arcane;2021;;10;14;9,0;273 mil
Scam 1992: The Harshad Mehta Story;2020;['2020'];10;16;9,2;158 mil
Better Call Saul;2015;2022;63;14;9,0;651 mil
Na Fazenda com Clarkson;2021;;25;12;9,0;59 mil
Planeta Humano;2011;['2011'];8;Livre;9,0;28 mil
Planeta Gelado;2011;2012;10;Livre;9,0;33 mil
Firefly;2002;2003;14;TV-14;8,9;282 mil
HUNTER×HUNTER;2011;2014;148;14;9,0;136 mil
Only Fools and Horses;1981;2003;64;TV-PG;9,0;57 mil
The Civil War;1990;['1990'];9;TV-14;9,0;19 mil
Death Note;2006;2007;37;18;8,9;380 mil
Seinfeld;1989;1998;173;Livre;8,9;353 mil
The Beatles: Get Back;2021;['2021'];3;Livre;8,9;28 mil
Decálogo;1989;1990;10;16;8,9;28 mil
Gravity Falls: Um Verão de Mistérios;2012;2016;41;Livre;8,9;136 mil
True Detective;2014;;31;16;8,9;659 mil
Cowboy Bebop;1998;1999;26;16;8,9;140 mil
Sahsiyet;2018;;22;TV-MA;9,0;48 mil
Fargo;2014;2024;51;16;8,9;423 mil
Nathan for You;2013;2017;32;16;8,9;39 mil
X-Men '97;2024;;11;14;9,0;23 mil
Gibi;2021;;53;;9,0;23 mil
Taskmaster;2015;;161;TV-14;9,0;20 mil
Apocalypse: La 2ème guerre mondiale;2009;['2009'];6;16;9,0;14 mil
Olhos que Condenam;2019;['2019'];4;16;8,8;138 mil
Last Week Tonight with John Oliver;2014;;354;14;8,8;96 mil
África;2013;['2013'];7;Livre;8,9;17 mil
Friends;1994;2004;234;12;8,9;1,1 mi
Succession;2018;2023;39;16;8,8;275 mil
TVF Pitchers;2015;2022;10;TV-MA;9,1;72 mil
It's Always Sunny in Philadelphia;2005;;172;16;8,8;253 mil
Monty Python's Flying Circus;1969;1974;45;14;8,8;79 mil
West Wing: Nos Bastidores do Poder;1999;2006;155;12;8,9;86 mil
Segura a Onda;2000;2024;120;14;8,8;148 mil
SU-Boots: Submersos Em Guerras;1985;['1985'];3;14;8,8;33 mil
One Piece;1999;;1117;12;9,0;237 mil
BoJack Horseman;2014;2020;77;16;8,8;190 mil
Fawlty Towers;1975;1979;12;TV-PG;8,8;100 mil
Leyla ile Mecnun;2011;2023;144;TV-PG;9,1;97 mil
Frieren e a Jornada para o Além;2023;;28;TV-14;8,9;17 mil
Orgulho e Preconceito;1995;['1995'];6;Livre;8,8;93 mil
Freaks & Geeks;1999;2000;18;12;8,8;154 mil
Blackadder Goes Forth;1989;['1989'];6;TV-PG;8,8;57 mil
Dragon Ball Z;1996;2003;277;12;8,8;148 mil
Twin Peaks;1990;1991;30;14;8,8;216 mil
Narcos;2015;2017;30;16;8,8;472 mil
Chappelle's Show;2003;2006;33;16;8,8;72 mil
Dragon Ball Z;1989;1996;291;12;8,8;88 mil
Eu, Cláudio;1976;['1976'];13;Not Rated;8,8;19 mil
Black Mirror;2011;;33;16;8,7;642 mil
South Park;1997;;330;18;8,7;407 mil
Vinland Saga;2019;2023;48;18;8,8;73 mil
Ted Lasso;2020;2023;34;14;8,8;351 mil
O Segredo Além do Jardim;2014;['2014'];10;10;8,8;71 mil
Responde 1988;2015;2016;20;;9,1;12 mil
A Fábrica de Kota;2019;2021;15;Livre;9,0;81 mil
Gullak;2019;;20;;9,1;22 mil
Peaky Blinders: Sangue, Apostas e Navalhas;2013;2022;36;16;8,8;653 mil
Xógun: A Gloriosa Saga do Japão;2024;['2024'];12;16;8,8;126 mil
Panchayat;2020;;24;14;8,9;85 mil
A Sete Palmos;2001;2005;63;18;8,7;150 mil
Roma;2005;2007;22;16;8,7;186 mil
Oz;1997;2003;56;18;8,7;107 mil
The Last of Us;2023;;11;16;8,7;531 mil
Bleach: Thousand-Year Blood War;2022;;27;12;9,0;36 mil
"Steins;Gate";2011;2015;26;12;8,8;74 mil
Dark;2017;2020;26;16;8,7;447 mil
The Boys;2019;;33;16;8,7;657 mil
Fleabag;2016;2019;12;16;8,7;203 mil
Samurai de Olhos Azuis;2023;['2023'];9;18;8,7;68 mil
The Shield: Acima da Lei;2002;2008;89;16;8,7;88 mil
Battlestar Galactica;2004;2009;74;16;8,7;176 mil
Downton Abbey;2010;2015;52;12;8,7;225 mil
Berserk;1997;1998;25;16+;8,7;54 mil
